",CollectionDate,Sample,Gross Weight,Net Weight,Sanity Height,Dry%,Brix1,Brix2,Brix3,Brix4,Nitro1,Nitro2,Nitro3,Nitro4,Nitro5,Nitro6,pre_Lidar,post_Lidar,diff_Lidar,SanityHeight,Biomass,JAIRGB,JAIir,GPSlong,GPSlat,ATemp,CTemp"
"0,20190515,2000,925,902,22.6,27.1,7.7,3.3,2.5,4.7,,,,,,,103.114065598,112.903970382,9.789904784,22.6,36080.0,15.991,77.205,53.19178583333333,-6.986538833333333,29.144,20.947"
"1,20190515,2001,981,958,23.8,37.9,4.4,4.2,4.8,4.0,,,,,,,104.747661934,104.747661934,0.0,23.8,38320.0,16.707,69.64,53.19195316666666,-6.9865715,22.292,20.146"
"2,20190515,2003,804,781,23.5,31.9,3.2,3.5,2.2,2.5,,,,,,,104.747661934,116.975116032,12.227454098,23.5,31240.0,25.037,107.842,53.192175,-6.9867655,21.590,21.616"
"3,20190515,2004,964,941,27.3,28.4,3.0,2.9,3.9,3.1,,,,,,,99.8444451165,123.479725425,23.6352803085,27.3,37640.0,24.599,133.506,53.19237666666667,-6.986867833333333,26.741,21.899"
"4,20190515,2005,1317,1294,19.0,33.9,5.7,5.4,2.0,3.2,,,,,,,103.930963663,120.2288118,16.297848137,19.0,51760.0,30.566,137.725,53.19264983333333,-6.987146666666667,23.558,21.919"
"5,20190515,2006,621,598,26.6,35.2,4.3,2.8,3.5,3.4,,,,,,,95.7527376652,116.975116032,21.2223783668,26.6,23920.0,20.033,112.06,53.1929365,-6.987306666666667,24.404,20.274"
"6,20190515,2007,925,902,27.1,35.9,4.4,3.8,4.8,4.3,,,,,,,99.0265251706,115.347201782,16.3206766114,27.1,36080.0,27.395,123.6,53.19278883333333,-6.987564333333333,25.339,21.061"
"7,20190515,2008,919,896,23.3,36.4,3.9,3.3,2.8,2.2,,,,,,,151.009302421,151.009302421,0.0,23.3,35840.0,19.502,81.306,53.19259233333333,-6.987843666666667,20.080,20.435"
"8,20190515,2009,863,840,28.3,41.9,2.6,3.3,5.0,3.6,,,,,,,99.0265251706,111.274228211,12.2477030404,28.3,33600.0,14.704,52.263000000000005,53.19239783333333,-6.9880553333333335,19.853,20.570"
"9,20190515,2010,673,650,27.3,47.8,3.4,3.9,3.8,7.0,,,,,,,108.828207282,92.4754963415,-16.3527109405,27.3,26000.0,15.5,74.428,53.19244366666667,-6.98846,21.601,20.465"
"10,20190515,2012,751,728,30.4,34.6,4.4,2.9,4.3,3.6,,,,,,,165.516482634,109.643737044,-55.87274559,30.4,29120.0,15.205,68.831,53.19242633333333,-6.988858666666666,23.658,20.075"
"11,20190515,2013,586,563,25.6,31.8,7.5,3.4,5.7,4.4,,,,,,,91.655633111,101.479664075,9.824030964,25.6,22520.0,14.102,77.618,53.19245766666667,-6.9891175,19.679,20.012"
"12,20190515,2014,817,794,28.0,35.2,3.5,3.5,2.5,3.8,,,,,,,185.59758069,119.415651521,-66.181929169,28.0,31760.0,19.499,83.824,53.19243616666667,-6.989415666666667,21.949,21.285"
"13,20190515,2015,460,437,22.5,37.7,2.6,3.1,1.6,1.8,,,,,,,111.274228211,117.788804797,6.514576586,22.5,17480.0,15.572,68.953,53.19230683333333,-6.989471666666667,22.395,22.610"
"14,20190515,2016,538,515,27.6,32.8,1.6,4.6,2.6,1.9,,,,,,,164.711644376,117.788804797,-46.922839579,27.6,20600.0,14.041,82.444,53.19222833333333,-6.989463166666667,22.276,21.875"
"15,20190521,3000,865,842,39.6,17.4,1.7,3.4,5.3,4.2,,,,,,,90.8355450459,90.8355450459,0.0,39.6,33680.0,,,53.19171816666667,-6.987511,20.559,21.186"
"16,20190521,3002,964,941,21.8,13.6,2.6,4.8,2.5,3.4,,,,,,,93.2951365972,115.347201782,22.0520651848,21.8,37640.0,19.437,120.384,53.19165316666667,-6.9878745,21.680,23.589"
"17,20190521,3003,954,931,25.4,18.7,2.7,2.1,3.8,3.2,,,,,,,91.655633111,112.089192269,20.433559158,25.4,37240.0,17.28,89.05799999999999,53.19162833333333,-6.988267333333333,20.876,20.661"
"18,20190521,3004,629,606,29.6,21.0,3.9,4.3,4.7,4.0,,,,,,,87.5529061553,108.012486269,20.4595801137,29.6,24240.0,17.468,126.515,53.1916005,-6.988749833333333,24.512,25.258"
"19,20190521,3005,678,655,31.6,22.4,7.2,5.9,6.2,6.2,,,,,,,90.8355450459,103.114065598,12.2785205521,31.6,26200.0,15.318,58.792,53.19151083333333,-6.989210166666666,20.146,22.744"
"20,20190521,3006,249,226,16.3,29.0,4.6,3.8,5.0,3.5,,,,,,,102.296966242,107.19657263,4.899606388,16.3,9040.0,12.248,44.004,53.191299666666666,-6.989361333333333,19.455,20.238"
"21,20190521,3007,114,91,9.4,26.2,3.9,3.9,3.9,3.9,,,,,,,105.564161886,112.903970382,7.339808496,9.4,3640.0,9.236,17.025,53.1908305,-6.986805,16.626,17.029"
"22,20190521,3008,669,646,32.6,19.9,4.2,4.3,3.5,1.5,,,,,,,89.1946868191,99.0265251706,9.8318383515,32.6,25840.0,9.446,28.213,53.190692166666665,-6.987006833333333,16.582,17.601"
"23,20190521,3009,895,872,23.6,17.1,5.5,3.4,2.9,4.1,,,,,,,109.643737044,87.5529061553,-22.0908308887,23.6,34880.0,,,53.1906265,-6.9871785,17.339,18.248"
"24,20190521,3011,677,654,40.4,18.0,2.6,2.3,2.9,2.6,,,,,,,70.2541168113,187.200894696,116.9467778847,40.4,26160.0,11.847,48.504,53.1905045,-6.987499166666667,18.040,22.791"
"25,20190521,3012,903,880,23.0,15.4,2.7,2.3,3.5,2.9,,,,,,,83.4443122151,105.564161886,22.1198496709,23.0,35200.0,14.173,57.47,53.19041466666667,-6.987768166666667,18.251,18.780"
"26,20190521,3013,427,404,23.0,24.3,3.4,3.5,5.1,3.2,,,,,,,90.8355450459,108.012486269,17.1769412231,23.0,16160.0,11.014,38.714,53.1902445,-6.9881195,18.587,20.150"
"27,20190521,3014,560,537,31.1,22.7,5.3,4.9,3.8,5.5,,,,,,,90.0152302559,103.114065598,13.0988353421,31.1,21480.0,10.145,36.387,53.190313,-6.9882015,19.956,25.083"
"28,20190521,3015,644,621,32.1,20.3,4.9,4.9,1.5,5.3,,,,,,,85.910187018,102.296966242,16.386779224,32.1,24840.0,9.92,36.935,53.190476833333335,-6.988249,19.626,22.221"
"29,20190521,3016,857,834,27.3,18.4,1.6,4.2,2.1,3.2,,,,,,,76.0331920395,97.3900562773,21.3568642378,27.3,33360.0,11.306,41.869,53.190654333333335,-6.9883188333333335,20.067,19.541"
"30,20190521,3017,528,505,25.5,22.8,3.3,2.2,3.8,2.7,,,,,,,89.1946868191,89.1946868191,0.0,25.5,20200.0,,,53.190866666666665,-6.988288,18.497,19.397"
"31,20190521,3019,616,593,28.3,22.2,4.1,5.0,5.0,4.3,,,,,,,94.1145557076,94.1145557076,0.0,28.3,23720.0,,,53.19084866666667,-6.988515666666666,20.078,21.784"
"32,20190521,3021,356,333,22.6,26.1,3.4,4.0,2.6,2.5,,,,,,,102.296966242,108.828207282,6.53124104,22.6,13320.0,11.078,38.072,53.1910075,-6.9882725,19.906,18.040"
"33,20190521,3022,427,404,24.5,22.1,3.4,2.9,3.2,3.2,,,,,,,88.3739127814,102.296966242,13.9230534606,24.5,16160.0,11.326,42.623000000000005,53.191002833333336,-6.987819833333333,20.339,19.430"
"34,20190528,4000,517,494,13.8,14.1,0.9,0.8,0.8,1.1,,,,,,,119.415651521,126.727927486,7.312275965,13.8,19760.0,24.088,142.665,53.559541333333335,-6.304999333333333,12.881,14.097"
"35,20190528,4001,872,849,14.8,14.2,1.1,1.5,1.0,0.8,,,,,,,121.041798214,125.104161127,4.062362913,14.8,33960.0,22.899,126.341,53.5594785,-6.3046291666666665,13.302,14.960"
"36,20190528,4002,145,122,13.9,14.0,2.4,2.8,1.6,1.8,,,,,,,120.2288118,129.973485124,9.744673324,13.9,4880.0,20.236,85.307,53.559645833333335,-6.3045385,12.223,13.488"
"37,20190528,4003,663,640,27.8,18.0,1.4,1.4,1.2,0.8,,,,,,,108.012486269,129.973485124,21.960998855,27.8,25600.0,18.057,123.372,53.5600315,-6.304375666666667,14.572,14.430"
"38,20190528,4004,801,778,13.4,12.4,1.1,0.9,0.9,1.0,,,,,,,120.2288118,127.539562259,7.310750459,13.4,31120.0,23.573,115.33,53.560398166666666,-6.304745166666667,12.722,12.495"
"39,20190528,4005,745,722,14.5,15.9,1.6,1.0,0.9,1.8,,,,,,,121.041798214,129.16234008,8.120541866,14.5,28880.0,58.845,254.669,53.560669833333336,-6.305048,16.333,25.347"
"40,20190528,4006,884,861,13.8,14.1,1.1,1.0,0.8,1.6,,,,,,,124.29202747,131.595292387,7.303264917,13.8,34440.0,33.005,158.888,53.56101116666667,-6.305356833333334,14.221,16.055"
"41,20190528,4007,703,680,19.6,16.4,2.1,2.5,3.1,2.6,,,,,,,112.903970382,127.539562259,14.635591877,19.6,27200.0,25.513,127.059,53.5613455,-6.305806666666666,14.764,14.776"
"42,20190528,4008,492,469,23.0,18.4,2.0,2.3,1.1,2.5,,,,,,,113.718563832,130.784468903,17.065905071,23.0,18760.0,18.345,121.583,53.56174333333333,-6.3062993333333335,14.293,13.995"
"43,20190528,4009,1021,998,12.8,13.9,1.7,1.4,1.3,2.5,,,,,,,121.854611886,129.16234008,7.307728194,12.8,39920.0,24.561,107.552,53.56187283333333,-6.305653333333334,14.448,14.734"
"44,20190528,4010,638,615,21.9,15.7,1.3,1.6,2.1,1.7,,,,,,,109.643737044,127.539562259,17.895825215,21.9,24600.0,17.358,82.389,53.561985,-6.304809666666666,13.827,13.462"
"45,20190528,4011,638,615,23.3,15.3,1.8,2.3,2.0,1.5,,,,,,,118.602316237,129.973485124,11.371168887,23.3,24600.0,24.855,127.73,53.561808166666665,-6.304855166666667,18.052,17.982"
"46,20190528,4012,817,794,14.6,15.5,1.2,1.4,1.7,2.4,,,,,,,115.347201782,129.16234008,13.815138298,14.6,31760.0,18.173,99.911,53.5616255,-6.304936166666667,15.441,15.692"
"47,20190528,4013,635,612,15.1,17.9,3.7,0.9,1.7,1.7,,,,,,,116.16124876,129.16234008,13.00109132,15.1,24480.0,22.592,111.358,53.561483333333335,-6.305083,14.596,15.830"
"48,20190528,4014,800,777,16.0,16.0,1.2,1.4,2.2,2.1,,,,,,,123.479725425,131.595292387,8.115566962,16.0,31080.0,27.934,129.208,53.561301666666665,-6.305194166666666,16.011,14.772"
"49,20190528,4015,728,705,16.8,15.9,1.6,1.5,1.4,1.8,,,,,,,122.667253925,130.784468903,8.117214978,16.8,28200.0,45.473,248.72,53.56117866666666,-6.305381,18.997,18.760"
"50,20190528,4016,577,554,19.3,16.6,0.9,1.6,0.7,1.3,,,,,,,118.602316237,129.16234008,10.560023843,19.3,22160.0,17.221,105.12,53.561071,-6.305596833333333,15.138,14.081"
"51,20190528,4017,660,637,27.1,17.3,2.2,2.1,2.2,2.3,,,,,,,96.5715040278,129.16234008,32.5908360522,27.1,25480.0,21.491,113.844,53.56093533333333,-6.305705333333333,15.325,12.654"
"52,20190528,4018,537,514,19.5,18.8,1.2,1.5,2.7,1.7,,,,,,,110.459076908,125.916127452,15.457050544,19.5,20560.0,18.04,101.643,53.56063683333333,-6.305971166666667,15.275,14.532"
"53,20190528,4019,517,494,19.5,19.5,1.7,2.1,2.8,1.8,,,,,,,115.347201782,125.916127452,10.56892567,19.5,19760.0,15.041,95.232,53.559998666666665,-6.306742,15.184,15.161"
"54,20190611,5000,1203,1180,,14.3,4.1,4.1,4.0,4.0,410.0,780.0,930.0,890.0,1100.0,1300.0,,,,,,40.243,227.84,52.986521833333335,-6.779762166666667,18.929,20.056"
"55,20190611,5001,974,951,,24.3,4.1,4.1,4.0,4.0,410.0,780.0,930.0,890.0,1100.0,1300.0,,,,,,17.521,101.815,52.986748166666665,-6.779522166666666,15.280,22.439"
"56,20190611,5002,1348,1325,,20.2,4.1,4.1,4.0,4.0,410.0,780.0,930.0,890.0,1100.0,1300.0,,,,,,15.69,64.331,52.98689016666667,-6.779202333333333,14.402,15.982"
"57,20190611,5003,1034,1011,,23.0,4.1,4.1,4.0,4.0,410.0,780.0,930.0,890.0,1100.0,1300.0,,,,,,12.712,64.23100000000001,52.986933,-6.778857833333333,13.841,18.238"
"58,20190611,5004,1345,1322,,22.4,4.1,4.1,4.0,4.0,410.0,780.0,930.0,890.0,1100.0,1300.0,,,,,,22.949,123.349,52.98693416666666,-6.778702166666667,15.788,22.553"
"59,20190611,5005,937,914,,23.6,4.8,4.7,4.8,4.6,510.0,750.0,930.0,1100.0,1200.0,1300.0,,,,,,32.438,213.926,52.986966,-6.778618833333333,18.007,19.850"
"60,20190611,5006,1033,1010,,23.3,4.8,4.7,4.8,4.6,510.0,750.0,930.0,1100.0,1200.0,1300.0,,,,,,26.625,120.313,52.98702766666667,-6.7784455,17.563,19.022"
"61,20190611,5007,1665,1642,,19.7,4.8,4.7,4.8,4.6,510.0,750.0,930.0,1100.0,1200.0,1300.0,,,,,,21.85,134.643,52.98710166666667,-6.7782225,17.426,18.329"
"62,20190611,5008,1394,1371,,18.8,4.8,4.7,4.8,4.6,510.0,750.0,930.0,1100.0,1200.0,1300.0,,,,,,24.224,126.316,52.987105666666665,-6.7780803333333335,16.465,18.776"
"63,20190611,5009,933,910,,25.2,4.8,4.7,4.8,4.6,510.0,750.0,930.0,1100.0,1200.0,1300.0,,,,,,18.912,81.193,52.9870515,-6.777945833333334,15.767,17.147"
"64,20190611,5010,705,682,,23.2,3.7,3.7,3.6,3.4,590.0,770.0,820.0,910.0,1000.0,980.0,,,,,,15.643,82.469,52.9869595,-6.777911333333334,17.931,20.432"
"65,20190611,5011,1423,1400,,18.3,3.7,3.7,3.6,3.4,590.0,770.0,820.0,910.0,1000.0,980.0,,,,,,14.315,75.755,52.98682616666667,-6.7779731666666665,15.377,15.306"
"66,20190611,5012,1054,1031,,25.0,3.7,3.7,3.6,3.4,590.0,770.0,820.0,910.0,1000.0,980.0,,,,,,20.408,104.504,52.9866535,-6.778091,15.309,15.435"
"67,20190611,5013,928,905,,20.4,3.7,3.7,3.6,3.4,590.0,770.0,820.0,910.0,1000.0,980.0,,,,,,39.187,244.569,52.986457,-6.778093833333333,18.634,22.716"
"68,20190611,5014,546,523,,22.0,3.7,3.7,3.6,3.4,590.0,770.0,820.0,910.0,1000.0,980.0,,,,,,21.617,111.419,52.98645283333333,-6.778339333333333,16.031,15.737"
"69,20190611,5015,615,592,,22.2,4.3,4.2,4.3,4.1,630.0,950.0,990.0,1200.0,1300.0,1400.0,,,,,,20.536,112.646,52.9864565,-6.778482,16.268,23.630"
"70,20190611,5017,445,422,,24.6,4.3,4.2,4.3,4.1,630.0,950.0,990.0,1200.0,1300.0,1400.0,,,,,,17.066,71.967,52.98644033333333,-6.778656833333334,15.956,18.945"
"71,20190611,5018,758,735,,24.3,4.3,4.2,4.3,4.1,630.0,950.0,990.0,1200.0,1300.0,1400.0,,,,,,22.601,100.321,52.98645616666667,-6.778830833333333,17.102,17.122"
"72,20190611,5019,1111,1088,,20.4,4.3,4.2,4.3,4.1,630.0,950.0,990.0,1200.0,1300.0,1400.0,,,,,,20.372,100.928,52.98648016666667,-6.779014,15.761,17.313"
"73,20190611,5020,1554,1531,,21.6,4.3,4.2,4.3,4.1,630.0,950.0,990.0,1200.0,1300.0,1400.0,,,,,,19.369,90.167,52.98650383333333,-6.779079,15.484,18.728"
"74,20190624,6000,1671,1648,,18.7,1.2,1.5,1.5,1.4,100.0,120.0,130.0,150.0,160.0,170.0,,,,,,97.412,255.0,53.0028325,-6.8807401666666665,27.059,25.491"
"75,20190624,6001,1695,1672,,15.4,1.2,1.5,1.5,1.4,100.0,120.0,130.0,150.0,160.0,170.0,,,,,,80.88,254.963,53.00305033333333,-6.880831,25.947,23.129"
"76,20190624,6002,726,703,,24.6,1.2,1.5,1.5,1.4,100.0,120.0,130.0,150.0,160.0,170.0,,,,,,33.105,158.752,53.003378833333336,-6.880984833333334,23.088,19.653"
"77,20190624,6003,522,499,,22.9,1.2,1.5,1.5,1.4,100.0,120.0,130.0,150.0,160.0,170.0,,,,,,53.522,240.772,53.00353283333333,-6.881043666666667,26.834,24.997"
"78,20190624,6004,1012,989,,28.3,1.2,1.5,1.5,1.4,100.0,120.0,130.0,150.0,160.0,170.0,,,,,,68.767,234.077,53.00359,-6.881081666666667,24.996,24.984"
"79,20190624,6005,1502,1479,,21.6,1.8,1.8,1.9,1.8,190.0,230.0,250.0,260.0,290.0,300.0,,,,,,32.288000000000004,192.113,53.003693166666665,-6.8808913333333335,23.701,20.382"
"80,20190624,6006,803,780,,23.0,1.8,1.8,1.9,1.8,190.0,230.0,250.0,260.0,290.0,300.0,,,,,,39.957,215.237,53.00372433333333,-6.880797333333334,22.378,20.935"
"81,20190624,6007,1293,1270,,19.8,1.8,1.8,1.9,1.8,190.0,230.0,250.0,260.0,290.0,300.0,,,,,,40.679,213.397,53.003702,-6.8803556666666665,22.947,24.084"
"82,20190624,6008,987,964,,22.9,1.8,1.8,1.9,1.8,190.0,230.0,250.0,260.0,290.0,300.0,,,,,,93.194,254.932,53.003709666666666,-6.8801586666666665,25.431,23.972"
"83,20190624,6009,1258,1235,,20.7,1.8,1.8,1.9,1.8,190.0,230.0,250.0,260.0,290.0,300.0,,,,,,46.438,226.705,53.003704,-6.879957666666667,23.422,21.061"
"84,20190624,6010,962,939,,21.8,1.6,1.6,1.6,1.7,170.0,210.0,230.0,250.0,260.0,260.0,,,,,,26.923,160.213,53.00363983333333,-6.8799323333333335,21.851,25.175"
"85,20190624,6011,740,717,,24.2,1.6,1.6,1.6,1.7,170.0,210.0,230.0,250.0,260.0,260.0,,,,,,21.697,136.221,53.003579,-6.8798835,21.573,23.474"
"86,20190624,6012,801,778,,24.0,1.6,1.6,1.6,1.7,170.0,210.0,230.0,250.0,260.0,260.0,,,,,,17.764,114.739,53.00345833333333,-6.880016666666666,21.117,26.568"
"87,20190624,6013,863,840,,22.3,1.6,1.6,1.6,1.7,170.0,210.0,230.0,250.0,260.0,260.0,,,,,,16.828,100.109,53.003291833333336,-6.880025166666667,20.881,18.895"
"88,20190624,6014,778,755,,19.5,1.6,1.6,1.6,1.7,170.0,210.0,230.0,250.0,260.0,260.0,,,,,,83.331,254.832,53.00301816666666,-6.880258833333333,27.379,22.297"
"89,20190624,6015,940,917,,20.0,1.2,1.3,1.3,1.2,,,,,,,,,,,,83.322,254.171,53.002677,-6.880719166666667,28.221,22.526"
"90,20190624,6016,1240,1217,,14.2,1.2,1.3,1.3,1.2,,,,,,,,,,,,78.344,254.862,53.00260683333333,-6.880768,26.955,25.291"
"91,20190625,7000,953,930,,25.2,3.3,2.8,3.4,3.4,220.0,260.0,320.0,340.0,380.0,390.0,,,,,,88.052,254.968,52.97047916666666,-6.840907666666666,27.559,25.978"
"92,20190625,7001,905,882,,20.7,3.3,2.8,3.4,3.4,220.0,260.0,320.0,340.0,380.0,390.0,,,,,,46.58,238.222,52.97042866666666,-6.840832,22.984,22.571"
"93,20190625,7002,1111,1088,,17.3,3.3,2.8,3.4,3.4,220.0,260.0,320.0,340.0,380.0,390.0,,,,,,42.235,235.013,52.970419666666665,-6.840751166666667,22.730,21.925"
"94,20190625,7003,1527,1504,,20.4,3.3,2.8,3.4,3.4,220.0,260.0,320.0,340.0,380.0,390.0,,,,,,81.851,252.264,52.9703495,-6.840647333333333,25.850,24.303"
"95,20190625,7004,1463,1440,,19.0,3.3,2.8,3.4,3.4,220.0,260.0,320.0,340.0,380.0,390.0,,,,,,30.006,187.48,52.970282833333336,-6.8405175,22.662,22.707"
"96,20190625,7005,1401,1378,,20.4,2.3,2.2,2.2,2.2,390.0,490.0,550.0,650.0,630.0,650.0,,,,,,37.896,222.197,52.970253666666665,-6.840396,21.347,20.746"
"97,20190625,7006,2144,2121,,22.8,2.3,2.2,2.2,2.2,390.0,490.0,550.0,650.0,630.0,650.0,,,,,,94.897,254.943,52.970205166666666,-6.840226333333334,24.843,23.172"
