",CollectionDate,Sample,Gross Weight,Net Weight,Sanity Height,Dry%,Brix1,Brix2,Brix3,Brix4,Nitro1,Nitro2,Nitro3,Nitro4,Nitro5,Nitro6,pre_Lidar,post_Lidar,diff_Lidar,SanityHeight,Biomass,JAIRGB,JAIir,GPSlong,GPSlat,ATemp,CTemp"
"182,20190903,14013,445,422,24.0,19.6,3.3,3.3,3.3,3.2,580.0,540.0,520.0,510.0,510.0,510.0,104.747661934,115.347201782,10.599539848,24.0,16880.0,52.35,241.315,53.1912925,-6.990253,21.176,21.038"
"183,20190903,14014,571,548,24.0,17.2,3.3,3.3,3.3,3.2,580.0,540.0,520.0,510.0,510.0,510.0,106.380464974,116.975116032,10.594651058,24.0,21920.0,56.601000000000006,246.331,53.191454,-6.990114666666667,21.245,20.879"
"184,20190903,14015,544,521,25.0,17.2,3.7,3.7,3.7,3.7,,,,,,,102.296966242,117.788804797,15.491838555,25.0,20840.0,46.115,224.425,53.19149083333333,-6.989910166666666,21.551,20.954"
"185,20190903,14016,611,588,25.0,18.0,3.7,3.7,3.7,3.7,,,,,,,103.114065598,112.089192269,8.975126671,25.0,23520.0,137.019,254.988,53.19159533333333,-6.989726166666666,24.176,23.339"
"186,20190904,15000,361,338,20.0,15.2,0.8,0.8,0.7,0.8,270.0,260.0,260.0,260.0,270.0,250.0,108.828207282,120.2288118,11.400604518,20.0,13520.0,61.674,235.928,53.20715583333333,-6.521164,15.247,14.353"
"187,20190904,15001,265,242,19.0,14.4,0.8,0.8,0.7,0.8,270.0,260.0,260.0,260.0,270.0,250.0,108.012486269,112.903970382,4.891484113,19.0,9680.0,43.254,206.955,53.2071045,-6.521229,15.928,15.372"
"188,20190904,15002,409,386,18.0,10.9,0.8,0.8,0.7,0.8,270.0,260.0,260.0,260.0,270.0,250.0,119.415651521,119.415651521,0.0,18.0,15440.0,58.729,243.472,53.207085,-6.521315666666666,15.389,15.564"
"189,20190904,15003,259,236,24.0,18.5,0.8,0.8,0.7,0.8,270.0,260.0,260.0,260.0,270.0,250.0,96.5715040278,110.459076908,13.8875728802,24.0,9440.0,64.737,207.933,53.20719666666667,-6.5212951666666665,14.505,15.786"
"190,20190904,15004,325,302,24.0,20.0,0.8,0.8,0.7,0.8,270.0,260.0,260.0,260.0,270.0,250.0,106.380464974,112.089192269,5.708727295,24.0,12080.0,28.563,119.222,53.2072415,-6.521259,12.799,14.500"
"191,20190910,16000,528,505,28.0,15.1,2.8,2.8,2.8,2.8,490.0,440.0,420.0,420.0,400.0,400.0,103.930963663,116.975116032,13.044152369,28.0,20200.0,18.216,61.406000000000006,53.190932333333336,-6.9919765,18.169,17.942"
"192,20190910,16001,464,441,21.0,15.9,2.8,2.8,2.8,2.8,490.0,440.0,420.0,420.0,400.0,400.0,109.643737044,119.415651521,9.771914477,21.0,17640.0,41.28,172.44299999999998,53.19081716666667,-6.9919525,18.802,18.698"
"193,20190910,16002,576,553,23.0,14.1,2.8,2.8,2.8,2.8,490.0,440.0,420.0,420.0,400.0,400.0,103.930963663,116.16124876,12.230285097,23.0,22120.0,28.112,113.096,53.19073083333333,-6.9921145,18.515,19.190"
"194,20190910,16003,589,566,23.0,16.3,2.8,2.8,2.8,2.8,490.0,440.0,420.0,420.0,400.0,400.0,101.479664075,112.903970382,11.424306307,23.0,22640.0,22.125,88.229,53.19064183333333,-6.9920245,17.557,16.867"
"195,20190910,16004,512,489,25.0,14.0,2.8,2.8,2.8,2.8,490.0,440.0,420.0,420.0,400.0,400.0,104.747661934,118.602316237,13.854654303,25.0,19560.0,20.193,83.23700000000001,53.19055866666667,-6.992190166666667,18.278,18.160"
"196,20190910,16005,520,497,23.0,18.7,2.3,2.3,2.3,2.3,420.0,420.0,420.0,420.0,420.0,390.0,103.114065598,117.788804797,14.674739199,23.0,19880.0,26.544,97.769,53.19052633333333,-6.992456166666667,18.039,18.746"
"197,20190910,16006,434,411,22.0,14.7,2.3,2.3,2.3,2.3,420.0,420.0,420.0,420.0,420.0,390.0,103.114065598,116.975116032,13.861050434,22.0,16440.0,32.361999999999995,118.384,53.1903625,-6.992481333333333,18.627,18.354"
"198,20190910,16007,519,496,27.0,15.0,2.3,2.3,2.3,2.3,420.0,420.0,420.0,420.0,420.0,390.0,103.930963663,117.788804797,13.857841134,27.0,19840.0,24.596,99.346,53.1903205,-6.9927125,17.929,17.192"
"199,20190910,16008,600,577,24.0,14.3,2.3,2.3,2.3,2.3,420.0,420.0,420.0,420.0,420.0,390.0,103.930963663,113.718563832,9.787600169,24.0,23080.0,34.506,139.745,53.190458,-6.992682833333333,18.807,18.085"
"200,20190910,16009,425,402,20.0,16.3,2.3,2.3,2.3,2.3,420.0,420.0,420.0,420.0,420.0,390.0,108.012486269,118.602316237,10.589829968,20.0,16080.0,23.154,92.727,53.190611,-6.992636,17.831,16.946"
"201,20190910,16010,502,479,23.0,16.8,2.3,2.2,2.2,2.2,350.0,350.0,340.0,330.0,320.0,330.0,103.930963663,115.347201782,11.416238119,23.0,19160.0,18.673,76.789,53.190529833333336,-6.992908,17.951,16.616"
"202,20190910,16011,374,351,24.0,15.1,2.3,2.2,2.2,2.2,350.0,350.0,340.0,330.0,320.0,330.0,104.747661934,116.975116032,12.227454098,24.0,14040.0,25.288,110.175,53.190597833333335,-6.993130333333333,16.735,15.618"
"203,20190910,16012,496,473,25.0,13.8,2.3,2.2,2.2,2.2,350.0,350.0,340.0,330.0,320.0,330.0,104.747661934,115.347201782,10.599539848,25.0,18920.0,22.327,106.754,53.1907485,-6.993183666666667,16.907,15.706"
"204,20190910,16013,462,439,25.0,15.3,2.3,2.2,2.2,2.2,350.0,350.0,340.0,330.0,320.0,330.0,103.114065598,116.16124876,13.047183162,25.0,17560.0,31.08,139.201,53.190884,-6.9929395,17.447,16.269"
"205,20190910,16014,385,362,31.0,15.4,2.3,2.2,2.2,2.2,350.0,350.0,340.0,330.0,320.0,330.0,99.8444451165,116.16124876,16.3168036435,31.0,14480.0,28.212,151.582,53.190921,-6.9927071666666665,17.478,17.037"
"206,20190910,16015,564,541,21.0,15.0,2.6,2.5,2.7,2.7,430.0,430.0,430.0,430.0,390.0,420.0,104.747661934,116.16124876,11.413586826,21.0,21640.0,32.93,146.74,53.19104766666667,-6.992471,17.197,16.609"
"207,20190910,16016,467,444,25.0,15.8,2.6,2.5,2.7,2.7,430.0,430.0,430.0,430.0,390.0,420.0,105.564161886,116.975116032,11.410954146,25.0,17760.0,28.243,133.936,53.19114366666667,-6.992538,16.864,16.501"
"208,20190910,16017,522,499,23.0,13.6,2.6,2.5,2.7,2.7,430.0,430.0,430.0,430.0,390.0,420.0,106.380464974,119.415651521,13.035186547,23.0,19960.0,23.173,106.672,53.191104333333335,-6.992227333333333,16.952,15.369"
"209,20190910,16018,531,508,24.0,15.6,2.6,2.5,2.7,2.7,430.0,430.0,430.0,430.0,390.0,420.0,103.930963663,115.347201782,11.416238119,24.0,20320.0,21.246,89.414,53.19094166666667,-6.9921205,16.970,15.508"
"210,20190910,16019,640,617,21.0,15.7,2.6,2.5,2.7,2.7,430.0,430.0,430.0,430.0,390.0,420.0,104.747661934,117.788804797,13.041142863,21.0,24680.0,17.221,68.637,53.191025,-6.991941166666667,16.272,15.817"
"211,20190918,17000,455,432,16.0,16.8,1.2,1.2,1.2,1.2,470.0,460.0,460.0,450.0,450.0,450.0,119.415651521,125.916127452,6.500475931,16.0,17280.0,28.256,135.27700000000002,53.2173935,-7.016922166666666,24.417,21.617"
"212,20190918,17001,539,516,19.0,14.6,1.2,1.2,1.2,1.2,470.0,460.0,460.0,450.0,450.0,450.0,108.828207282,107.19657263,-1.631634652,19.0,20640.0,29.061,131.898,53.217388666666665,-7.016630666666667,22.327,20.506"
"213,20190918,17002,473,450,17.0,17.3,1.2,1.2,1.2,1.2,470.0,460.0,460.0,450.0,450.0,450.0,115.347201782,121.854611886,6.507410104,17.0,18000.0,28.538,120.009,53.21747533333333,-7.016575166666667,24.312,24.448"
"214,20190918,17003,528,505,20.0,17.4,1.2,1.2,1.2,1.2,470.0,460.0,460.0,450.0,450.0,450.0,108.012486269,112.903970382,4.891484113,20.0,20200.0,33.209,138.36,53.217572,-7.016469833333334,22.782,24.137"
"215,20190918,17004,527,504,17.0,17.3,1.2,1.2,1.2,1.2,470.0,460.0,460.0,450.0,450.0,450.0,120.2288118,121.854611886,1.625800086,17.0,20160.0,26.246,109.187,53.217582,-7.016174333333334,23.213,21.495"
"216,20190918,17005,456,433,17.0,18.2,2.1,2.2,2.2,2.2,340.0,330.0,330.0,330.0,330.0,330.0,111.274228211,116.16124876,4.887020549,17.0,17320.0,33.997,121.741,53.217932,-7.016206,23.021,26.314"
"217,20190918,17006,544,521,19.0,18.2,2.1,2.2,2.2,2.2,340.0,330.0,330.0,330.0,330.0,330.0,112.089192269,120.2288118,8.139619531,19.0,20840.0,29.454,116.732,53.218172333333335,-7.0163865,21.905,23.226"
"218,20190918,17007,565,542,20.0,20.8,2.1,2.2,2.2,2.2,340.0,330.0,330.0,330.0,330.0,330.0,108.012486269,117.788804797,9.776318528,20.0,21680.0,32.07,127.223,53.21839166666667,-7.0165145,22.591,20.228"
"219,20190918,17008,331,308,19.0,21.6,2.1,2.2,2.2,2.2,340.0,330.0,330.0,330.0,330.0,330.0,108.828207282,118.602316237,9.774108955,19.0,12320.0,32.975,115.878,53.21859883333333,-7.016643833333333,24.123,23.391"
"220,20190918,17009,295,272,20.0,21.6,2.1,2.2,2.2,2.2,340.0,330.0,330.0,330.0,330.0,330.0,109.643737044,120.2288118,10.585074756,20.0,10880.0,33.958,110.861,53.2186285,-7.016956166666667,25.228,23.764"
"221,20190918,17010,353,330,16.0,20.6,2.6,2.6,2.6,2.5,,,,,,,113.718563832,118.602316237,4.883752405,16.0,13200.0,28.27,101.597,53.218546,-7.017118666666667,26.240,24.417"
"222,20190918,17011,371,348,20.0,20.1,2.6,2.6,2.6,2.5,,,,,,,109.643737044,120.2288118,10.585074756,20.0,13920.0,29.75,110.572,53.21842316666667,-7.0174156666666665,25.488,24.518"
"223,20190919,18000,258,235,17.0,22.8,2.3,2.2,2.1,2.1,400.0,300.0,270.0,260.0,240.0,250.0,112.089192269,118.602316237,6.513123968,17.0,9400.0,25.204,106.505,53.1905645,-6.5114228333333335,25.567,26.303"
"224,20190919,18001,308,285,17.0,21.5,2.3,2.2,2.1,2.1,400.0,300.0,270.0,260.0,240.0,250.0,108.828207282,119.415651521,10.587444239,17.0,11400.0,24.144,118.731,53.190405166666665,-6.5115085,23.966,23.425"
"225,20190919,18002,267,244,20.0,25.8,2.3,2.2,2.1,2.1,400.0,300.0,270.0,260.0,240.0,250.0,104.747661934,115.347201782,10.599539848,20.0,9760.0,23.573,120.551,53.19047466666667,-6.511219333333333,22.078,21.505"
"226,20190919,18003,257,234,17.0,22.0,2.3,2.2,2.1,2.1,400.0,300.0,270.0,260.0,240.0,250.0,115.347201782,121.041798214,5.694596432,17.0,9360.0,27.628,121.205,53.19036,-6.511313666666666,25.013,23.867"
"227,20190919,18004,460,437,20.0,21.1,2.3,2.2,2.1,2.1,400.0,300.0,270.0,260.0,240.0,250.0,108.828207282,115.347201782,6.5189945,20.0,17480.0,26.609,134.748,53.19039816666667,-6.511037,24.959,25.329"
"228,20190919,18005,233,210,20.0,22.9,2.3,2.2,2.0,2.1,310.0,320.0,320.0,310.0,310.0,290.0,108.012486269,119.415651521,11.403165252,20.0,8400.0,24.784,119.034,53.190109666666665,-6.511448666666666,24.158,21.229"
"229,20190919,18006,322,299,21.0,26.2,2.3,2.2,2.0,2.1,310.0,320.0,320.0,310.0,310.0,290.0,109.643737044,116.975116032,7.331378988,21.0,11960.0,28.663,125.66,53.19008816666667,-6.511730333333333,25.597,26.447"
"230,20190919,18007,207,184,18.0,25.7,2.3,2.2,2.0,2.1,310.0,320.0,320.0,310.0,310.0,290.0,113.718563832,120.2288118,6.510247968,18.0,7360.0,22.376,111.153,53.19015916666667,-6.5119983333333336,25.212,23.835"
"231,20190919,18008,303,280,21.0,18.0,2.3,2.2,2.0,2.1,310.0,320.0,320.0,310.0,310.0,290.0,106.380464974,115.347201782,8.966736808,21.0,11200.0,27.67,137.001,53.19027283333333,-6.511908333333333,25.025,23.873"
"232,20190919,18009,270,247,20.0,21.4,2.3,2.2,2.0,2.1,310.0,320.0,320.0,310.0,310.0,290.0,108.828207282,117.788804797,8.960597515,20.0,9880.0,23.215,118.282,53.19017183333333,-6.512183833333333,25.328,25.062"
"233,20190919,18010,358,335,22.0,19.5,2.8,2.7,2.7,2.6,560.0,610.0,610.0,600.0,580.0,560.0,108.828207282,115.347201782,6.5189945,22.0,13400.0,31.876,135.475,53.19014783333333,-6.510803,23.170,24.653"
"234,20190919,18011,434,411,20.0,22.6,2.8,2.7,2.7,2.6,560.0,610.0,610.0,600.0,580.0,560.0,112.089192269,119.415651521,7.326459252,20.0,16440.0,29.916,134.286,53.19026266666667,-6.510555666666667,22.719,26.843"
"235,20190919,18012,277,254,22.0,23.5,2.8,2.7,2.7,2.6,560.0,610.0,610.0,600.0,580.0,560.0,104.747661934,119.415651521,14.667989587,22.0,10160.0,21.856,126.269,53.19034966666667,-6.510224833333333,25.231,22.570"
"236,20190919,18013,318,295,20.0,22.5,2.8,2.7,2.7,2.6,560.0,610.0,610.0,600.0,580.0,560.0,106.380464974,116.16124876,9.780783786,20.0,11800.0,24.237,111.166,53.190188166666665,-6.510203166666667,24.113,21.177"
"237,20190919,18014,276,253,20.0,25.0,2.8,2.7,2.7,2.6,560.0,610.0,610.0,600.0,580.0,560.0,110.459076908,118.602316237,8.143239329,20.0,10120.0,33.323,111.949,53.189979,-6.5102218333333335,26.624,24.174"
"238,20190919,18015,361,338,17.0,22.6,,,,,,,,,,,109.643737044,116.975116032,7.331378988,17.0,13520.0,30.618,115.71,53.18999483333333,-6.509878666666666,24.476,25.163"
"239,20190919,18016,277,254,17.0,22.8,,,,,,,,,,,110.459076908,117.788804797,7.329727889,17.0,10160.0,36.063,108.84,53.1898245,-6.5099875,23.638,25.846"
"240,20190919,19000,367,344,22.0,,1.4,1.3,1.4,1.3,300.0,320.0,340.0,340.0,350.0,360.0,109.643737,118.6023162,8.9585792,22.0,13760.0,16.458,64.837,,,,"
"241,20190919,19001,252,229,15.0,,1.4,1.3,1.4,1.3,300.0,320.0,340.0,340.0,350.0,360.0,111.2742282,118.6023162,7.328088,15.0,9160.0,13.952,52.813,,,,"
"242,20190919,19002,303,280,19.0,,1.4,1.3,1.4,1.3,300.0,320.0,340.0,340.0,350.0,360.0,108.8282073,117.7888048,8.9605975,19.0,11200.0,12.213,35.662,,,,"
"243,20190919,19003,282,259,19.0,,1.4,1.3,1.4,1.3,300.0,320.0,340.0,340.0,350.0,360.0,109.643737,121.8546119,12.2108749,19.0,10360.0,10.607,33.759,,,,"
"244,20190919,19004,291,268,20.0,,1.4,1.3,1.4,1.3,300.0,320.0,340.0,340.0,350.0,360.0,115.3472018,121.8546119,6.5074101,20.0,10720.0,15.056,61.656000000000006,,,,"
"245,20190919,19005,288,265,22.0,,1.1,1.1,1.0,1.2,160.0,160.0,160.0,180.0,,,113.7185638,123.4797254,9.7611616,22.0,10600.0,23.858,110.929,,,,"
"246,20190919,19006,255,232,16.0,,1.1,1.1,1.0,1.2,160.0,160.0,160.0,180.0,,,110.4590769,118.6023162,8.1432393,16.0,9280.0,19.512,91.926,,,,"
"247,20191009,20000,73,50,7.0,21.2,1.0,1.0,1.0,0.9,160.0,160.0,170.0,180.0,180.0,180.0,117.7888048,118.6023162,0.8135114,7.0,2000.0,15.393,42.122,,,,"
"248,20191009,20001,268,245,10.0,18.9,1.0,1.0,1.0,0.9,160.0,160.0,170.0,180.0,180.0,180.0,112.0891923,121.8546119,9.7654196,10.0,9800.0,18.038,65.411,,,,"
"249,20191009,20002,226,203,10.0,18.7,1.0,1.0,1.0,0.9,160.0,160.0,170.0,180.0,180.0,180.0,121.0417982,122.6672539,1.6254557,10.0,8120.0,17.66,103.418,,,,"
"250,20191009,20003,232,209,10.0,17.9,1.0,1.0,1.0,0.9,160.0,160.0,170.0,180.0,180.0,180.0,112.0891923,118.6023162,6.5131239,10.0,8360.0,39.81,188.66,,,,"
"251,20191009,20004,330,307,13.0,14.1,1.0,1.0,1.0,0.9,160.0,160.0,170.0,180.0,180.0,180.0,115.3472018,120.2288118,4.88161,13.0,12280.0,36.82,171.048,,,,"
"252,20191009,20005,75,52,5.0,24.0,1.1,1.1,1.0,1.0,130.0,130.0,130.0,130.0,130.0,130.0,119.4156515,119.4156515,0.0,5.0,2080.0,47.645,190.217,,,,"
"253,20191009,20006,250,227,12.0,15.0,1.1,1.1,1.0,1.0,130.0,130.0,130.0,130.0,130.0,130.0,115.3472018,118.6023162,3.2551144,12.0,9080.0,37.492,186.238,,,,"
"254,20191009,20007,130,107,9.0,20.2,1.1,1.1,1.0,1.0,130.0,130.0,130.0,130.0,130.0,130.0,115.3472018,118.6023162,3.2551144,9.0,4280.0,34.587,174.685,,,,"
"255,20191009,20008,105,82,7.0,26.2,1.1,1.1,1.0,1.0,130.0,130.0,130.0,130.0,130.0,130.0,117.7888048,120.2288118,2.440007,7.0,3280.0,35.477,146.986,,,,"
"256,20191009,20009,183,160,9.0,24.1,1.1,1.1,1.0,1.0,130.0,130.0,130.0,130.0,130.0,130.0,116.975116,118.6023162,1.6272002,9.0,6400.0,40.889,157.56,,,,"
"257,20191009,20010,120,97,8.0,27.5,,,,,,,,,,,116.1612488,117.7888048,1.627556,8.0,3880.0,17.359,43.534,,,,"
"258,20191022,21000,124,101,15.0,23.6,2.6,2.6,2.4,2.5,570.0,560.0,570.0,550.0,540.0,510.0,121.854611886,124.29202747,2.437415584,15.0,4040.0,58.851000000000006,205.38,52.712372,-7.0262475,,"
"259,20191022,21001,125,102,11.0,19.2,2.6,2.6,2.4,2.5,570.0,560.0,570.0,550.0,540.0,510.0,116.975116032,120.2288118,3.253695768,11.0,4080.0,62.12,224.706,52.7124415,-7.026087833333333,,"
"260,20191022,21002,268,245,21.0,17.6,2.6,2.6,2.4,2.5,570.0,560.0,570.0,550.0,540.0,510.0,106.380464974,116.16124876,9.780783786,21.0,9800.0,78.956,252.384,52.7124175,-7.025925,,"
"261,20191022,21003,286,263,19.0,17.7,2.6,2.6,2.4,2.5,570.0,560.0,570.0,550.0,540.0,510.0,107.19657263,115.347201782,8.150629152,19.0,10520.0,85.314,252.641,52.7123975,-7.025747166666667,,"
"262,20191022,21004,235,212,20.0,18.6,2.6,2.6,2.4,2.5,570.0,560.0,570.0,550.0,540.0,510.0,111.274228211,116.975116032,5.700887821,20.0,8480.0,76.608,247.331,52.71237633333333,-7.0256635,,"
"263,20191022,21005,335,312,25.0,17.2,2.3,2.3,2.3,2.1,500.0,500.0,510.0,500.0,500.0,490.0,108.828207282,116.16124876,7.333041478,25.0,12480.0,52.761,241.57,52.7123645,-7.025578833333333,,"
"264,20191022,21006,159,136,13.0,17.7,2.3,2.3,2.3,2.1,500.0,500.0,510.0,500.0,500.0,490.0,109.643737044,112.089192269,2.445455225,13.0,5440.0,72.89699999999999,235.177,52.71232283333333,-7.025440666666666,,"
"265,20191022,21007,216,193,19.0,18.1,2.3,2.3,2.3,2.1,500.0,500.0,510.0,500.0,500.0,490.0,113.718563832,118.602316237,4.883752405,19.0,7720.0,47.531000000000006,229.28,52.7123195,-7.025307166666667,,"
"266,20191022,21008,174,151,20.0,19.6,2.3,2.3,2.3,2.1,500.0,500.0,510.0,500.0,500.0,490.0,116.975116032,121.854611886,4.879495854,20.0,6040.0,50.578,231.517,52.71230583333333,-7.025175666666667,,"
"267,20191022,21009,208,185,18.0,18.9,2.3,2.3,2.3,2.1,500.0,500.0,510.0,500.0,500.0,490.0,108.012486269,113.718563832,5.706077563,18.0,7400.0,56.962,241.652,52.71229816666666,-7.0251065,,"